TimeRemaining,AwayPlay,Score,HomePlay
1:32.0,D. Lillard makes 2-pt jump shot from 20 ft,24-31, 
1:12.0, ,24-33,J. Brunson makes 2-pt jump shot from 5 ft
1:12.0, ,24-33,Shooting foul by B. Portis (drawn by J. Brunson)
1:12.0, ,24-34,J. Brunson makes free throw 1 of 1
1:04.0,G. Antetokounmpo misses 2-pt layup from 1 ft,24-34, 
1:02.0, ,24-34,Defensive rebound by J. Brunson
0:47.0, ,24-36,I. Quickley makes 2-pt jump shot from 10 ft (assist by J. Hart)
0:38.0,D. Lillard makes 3-pt jump shot from 30 ft,27-36, 
0:28.0, ,27-36,J. Brunson misses 2-pt layup from 3 ft
0:28.0, ,27-36,Offensive rebound by Team
0:28.0, ,27-36,T. Gibson enters the game for J. Brunson
0:28.0, ,27-36,Q. Grimes enters the game for I. Hartenstein
0:15.0, ,27-36,J. Randle misses 2-pt jump shot from 8 ft
0:12.0,Defensive rebound by G. Antetokounmpo,27-36, 
0:00.0,P. Connaughton misses 3-pt jump shot from 25 ft,27-36, 
0:00.0,Offensive rebound by Team,27-36, 
11:42.0, ,27-38,I. Quickley makes 2-pt jump shot from 9 ft (assist by Q. Grimes)
11:24.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,27-38, 
11:20.0, ,27-38,Defensive rebound by T. Gibson
11:17.0, ,27-40,J. Randle makes 2-pt layup from 2 ft (assist by I. Quickley)
10:56.0,C. Payne makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),30-40, 
10:45.0, ,30-40,I. Quickley misses 3-pt jump shot from 26 ft
10:43.0,Defensive rebound by P. Connaughton,30-40, 
10:27.0,B. Portis misses 3-pt jump shot from 23 ft,30-40, 
10:24.0,Offensive rebound by G. Antetokounmpo,30-40, 
10:22.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by T. Gibson),30-40, 
10:22.0, ,30-40,Defensive rebound by J. Hart
10:11.0, ,30-40,Turnover by J. Hart (lost ball; steal by M. Beauchamp)
10:06.0,G. Antetokounmpo misses 2-pt layup from 3 ft (block by T. Gibson),30-40, 
10:03.0, ,30-40,Defensive rebound by Q. Grimes
9:56.0, ,30-43,J. Randle makes 3-pt jump shot from 25 ft
9:40.0,P. Connaughton misses 3-pt jump shot from 25 ft,30-43, 
9:37.0, ,30-43,Defensive rebound by T. Gibson
9:31.0, ,30-43,Turnover by J. Randle (bad pass)
9:22.0,Shooting foul by T. Gibson (drawn by G. Antetokounmpo),30-43, 
9:22.0,K. Middleton enters the game for P. Connaughton,30-43, 
9:22.0,G. Antetokounmpo misses free throw 1 of 2,30-43, 
9:22.0,Offensive rebound by Team,30-43, 
9:22.0,G. Antetokounmpo misses free throw 2 of 2,30-43, 
9:20.0, ,30-43,Defensive rebound by J. Randle
9:00.0, ,30-43,J. Hart misses 3-pt jump shot from 23 ft
8:58.0,Defensive rebound by B. Portis,30-43, 
8:41.0,G. Antetokounmpo misses 2-pt layup from 3 ft (block by T. Gibson),30-43, 
8:38.0, ,30-43,Defensive rebound by J. Randle
8:36.0, ,30-43,Turnover by J. Randle (bad pass; steal by K. Middleton)
8:32.0,K. Middleton misses 2-pt layup from 1 ft,30-43, 
8:29.0,Offensive rebound by G. Antetokounmpo,30-43, 
8:29.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,32-43, 
8:29.0, ,32-43,New York full timeout
8:04.0, ,32-43,J. Randle misses 2-pt jump shot from 7 ft
8:02.0,Defensive rebound by G. Antetokounmpo,32-43, 
7:50.0,K. Middleton misses 3-pt jump shot from 25 ft,32-43, 
7:46.0,Offensive rebound by G. Antetokounmpo,32-43, 
7:45.0,C. Payne misses 3-pt jump shot from 26 ft,32-43, 
7:45.0, ,32-43,Defensive rebound by J. Hart
7:28.0, ,32-43,J. Randle misses 2-pt layup from 2 ft
