TimeRemaining,AwayPlay,Score,HomePlay
4:26.0,Defensive rebound by P. Connaughton,103-119, 
4:25.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,105-119, 
4:08.0, ,105-119,Shooting foul by P. Connaughton (drawn by J. Brunson)
4:08.0, ,105-120,J. Brunson makes free throw 1 of 2
4:08.0, ,105-120,J. Brunson misses free throw 2 of 2
4:06.0,Defensive rebound by G. Antetokounmpo,105-120, 
3:56.0,D. Lillard misses 3-pt jump shot from 26 ft,105-120, 
3:54.0,Offensive rebound by B. Portis,105-120, 
3:54.0,B. Portis misses 2-pt layup from 4 ft,105-120, 
3:53.0,Offensive rebound by P. Connaughton,105-120, 
3:48.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by P. Connaughton),108-120, 
3:28.0, ,108-122,I. Hartenstein makes 2-pt layup from 1 ft (assist by J. Brunson)
3:28.0, ,108-122,Shooting foul by G. Antetokounmpo (drawn by I. Hartenstein)
3:28.0, ,108-122,R. Barrett enters the game for I. Quickley
3:28.0, ,108-122,I. Hartenstein misses free throw 1 of 1
3:26.0,Defensive rebound by B. Portis,108-122, 
3:17.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by D. Lillard),111-122, 
2:49.0, ,111-124,J. Brunson makes 2-pt jump shot from 15 ft
2:35.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),113-124, 
2:16.0, ,113-124,J. Brunson misses 2-pt jump shot from 4 ft
2:14.0,Defensive rebound by P. Connaughton,113-124, 
2:07.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),116-124, 
1:44.0, ,116-124,J. Brunson misses 2-pt jump shot from 6 ft
1:42.0,Defensive rebound by G. Antetokounmpo,116-124, 
1:34.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,116-124, 
1:31.0,Offensive rebound by B. Portis,116-124, 
1:31.0,B. Portis makes 2-pt layup at rim,118-124, 
1:11.0, ,118-126,J. Brunson makes 2-pt jump shot from 5 ft
1:03.0,K. Middleton misses 3-pt jump shot from 27 ft,118-126, 
1:00.0,Offensive rebound by P. Connaughton,118-126, 
0:58.0,D. Lillard misses 3-pt jump shot from 24 ft,118-126, 
0:55.0, ,118-126,Defensive rebound by J. Hart
0:52.0, ,118-126,Offensive foul by R. Barrett (drawn by K. Middleton)
0:52.0, ,118-126,Turnover by R. Barrett (offensive foul)
0:47.0,B. Portis misses 3-pt jump shot from 23 ft,118-126, 
0:44.0,Offensive rebound by G. Antetokounmpo,118-126, 
0:40.0,B. Portis misses 2-pt jump shot from 14 ft,118-126, 
0:40.0,Offensive rebound by Team,118-126, 
0:40.0, ,118-126,Loose ball foul by J. Randle (drawn by G. Antetokounmpo)
0:35.0,K. Middleton makes 2-pt jump shot from 9 ft (assist by G. Antetokounmpo),120-126, 
0:18.0, ,120-126,Personal foul by K. Middleton (drawn by J. Randle)
0:18.0, ,120-127,J. Randle makes free throw 1 of 2
0:18.0, ,120-128,J. Randle makes free throw 2 of 2
0:18.0,Milwaukee full timeout,120-128, 
0:16.0,D. Lillard misses 3-pt jump shot from 23 ft,120-128, 
0:14.0,Offensive rebound by B. Portis,120-128, 
0:13.0,B. Portis makes 2-pt layup from 1 ft,122-128, 
0:08.0, ,122-128,Shooting foul by B. Portis (drawn by R. Barrett)
0:08.0, ,122-129,R. Barrett makes free throw 1 of 2
0:08.0, ,122-129,R. Barrett misses free throw 2 of 2
0:07.0, ,122-129,Offensive rebound by J. Brunson
