TimeRemaining,AwayPlay,Score,HomePlay
1:41.0, ,31-20,J. Okogie makes free throw 2 of 2
1:27.0,D. Lively misses 2-pt hook shot from 4 ft,31-20, 
1:25.0, ,31-20,Defensive rebound by J. Okogie
1:16.0, ,31-22,E. Gordon makes 2-pt jump shot from 7 ft
1:08.0,Personal foul by J. Okogie (drawn by L. Dončić),31-22, 
1:08.0,L. Dončić makes free throw 1 of 2,32-22, 
1:08.0,L. Dončić makes free throw 2 of 2,33-22, 
0:58.0, ,33-22,J. Okogie misses 3-pt jump shot from 23 ft
0:55.0,Defensive rebound by D. Lively,33-22, 
0:43.0,A. Lawson misses 3-pt jump shot from 23 ft,33-22, 
0:40.0, ,33-22,Defensive rebound by C. Metu
0:25.0, ,33-24,C. Metu makes 2-pt layup from 2 ft (assist by J. Okogie)
0:05.0,J. Hardy makes 3-pt jump shot from 23 ft (assist by L. Dončić),36-24, 
0:00.0, ,36-24,J. Okogie misses 3-pt jump shot from 26 ft
0:00.0, ,36-24,Offensive rebound by Team
11:53.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by D. Exum),39-24, 
11:24.0, ,39-26,U. Azubuike makes 2-pt hook shot from 9 ft
11:10.0,T. Hardaway makes 2-pt jump shot from 19 ft (assist by D. Powell),41-26, 
10:53.0, ,41-29,C. Metu makes 3-pt jump shot from 23 ft (assist by E. Gordon)
10:27.0,T. Hardaway misses 3-pt jump shot from 25 ft,41-29, 
10:24.0, ,41-29,Defensive rebound by C. Metu
10:18.0, ,41-29,K. Durant misses 3-pt jump shot from 25 ft
10:15.0, ,41-29,Offensive rebound by J. Goodwin
10:14.0, ,41-32,C. Metu makes 3-pt jump shot from 26 ft (assist by J. Goodwin)
9:59.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Exum),43-32, 
9:33.0, ,43-34,U. Azubuike makes 2-pt layup from 1 ft (assist by C. Metu)
9:18.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by D. Powell),46-34, 
9:03.0, ,46-34,K. Durant misses 2-pt jump shot from 12 ft
9:00.0, ,46-34,Offensive rebound by K. Durant
8:57.0, ,46-34,K. Durant misses 2-pt jump shot from 9 ft
8:57.0,Defensive rebound by J. Hardy,46-34, 
8:51.0,J. Hardy misses 3-pt jump shot from 25 ft,46-34, 
8:47.0,Offensive rebound by D. Exum,46-34, 
8:40.0,J. Hardy misses 2-pt jump shot from 17 ft,46-34, 
8:36.0, ,46-34,Defensive rebound by C. Metu
8:32.0, ,46-34,C. Metu misses 3-pt jump shot from 23 ft
8:28.0,Defensive rebound by G. Williams,46-34, 
8:18.0,T. Hardaway misses 2-pt jump shot from 20 ft,46-34, 
8:14.0, ,46-34,Defensive rebound by C. Metu
