TimeRemaining,AwayPlay,Score,HomePlay
4:44.0,D. Jones makes 2-pt layup from 2 ft (assist by L. Dončić),115-106, 
4:31.0, ,115-108,E. Gordon makes 2-pt layup from 1 ft
4:12.0,T. Hardaway misses 2-pt jump shot from 22 ft,115-108, 
4:10.0, ,115-108,Defensive rebound by D. Eubanks
3:57.0, ,115-110,D. Booker makes 2-pt jump shot from 6 ft
3:56.0,Personal foul by G. Allen (drawn by L. Dončić),115-110, 
3:56.0,L. Dončić makes free throw 1 of 2,116-110, 
3:56.0,D. Exum enters the game for S. Curry,116-110, 
3:56.0, ,116-110,C. Metu enters the game for D. Eubanks
3:56.0,L. Dončić makes free throw 2 of 2,117-110, 
3:39.0, ,117-110,E. Gordon misses 2-pt jump shot from 6 ft
3:38.0,Defensive rebound by T. Hardaway,117-110, 
3:26.0,D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić),119-110, 
3:04.0, ,119-110,G. Allen misses 3-pt jump shot from 25 ft
3:01.0,Defensive rebound by T. Hardaway,119-110, 
2:41.0,L. Dončić misses 3-pt jump shot from 32 ft,119-110, 
2:38.0, ,119-110,Defensive rebound by K. Durant
2:33.0, ,119-112,D. Booker makes 2-pt layup from 1 ft (assist by K. Durant)
2:09.0,D. Jones makes 2-pt layup from 4 ft (assist by L. Dončić),121-112, 
2:00.0, ,121-112,Turnover by C. Metu (bad pass)
1:43.0,Shooting foul by E. Gordon (drawn by D. Jones),121-112, 
1:43.0,D. Jones makes free throw 1 of 2,122-112, 
1:43.0,D. Jones misses free throw 2 of 2,122-112, 
1:41.0, ,122-112,Defensive rebound by C. Metu
1:34.0, ,122-112,Turnover by K. Durant (lost ball; steal by T. Hardaway)
1:32.0,T. Hardaway makes 2-pt dunk from 1 ft,124-112, 
1:32.0, ,124-112,Phoenix full timeout
1:22.0, ,124-114,C. Metu makes 2-pt layup from 1 ft (assist by G. Allen)
1:01.0,D. Lively makes 2-pt jump shot from 9 ft (assist by L. Dončić),126-114, 
0:49.0, ,126-114,E. Gordon misses 3-pt jump shot from 23 ft (block by L. Dončić)
0:45.0,Defensive rebound by T. Hardaway,126-114, 
0:29.0,L. Dončić makes 2-pt jump shot from 11 ft,128-114, 
0:29.0, ,128-114,Phoenix full timeout
0:29.0,J. Hardy enters the game for L. Dončić,128-114, 
0:29.0,A. Lawson enters the game for T. Hardaway,128-114, 
0:29.0,D. Powell enters the game for D. Jones,128-114, 
0:29.0,O. Prosper enters the game for D. Lively,128-114, 
0:29.0, ,128-114,D. Eubanks enters the game for G. Allen
0:29.0, ,128-114,J. Goodwin enters the game for D. Booker
0:29.0, ,128-114,N. Little enters the game for K. Durant
0:29.0, ,128-114,J. Okogie enters the game for E. Gordon
0:18.0, ,128-114,J. Okogie misses 2-pt layup from 4 ft
0:16.0, ,128-114,Offensive rebound by J. Okogie
0:13.0, ,128-114,C. Metu misses 3-pt jump shot from 25 ft
0:10.0,Defensive rebound by A. Lawson,128-114, 
