TimeRemaining,AwayPlay,Score,HomePlay
3:56.0,S. Curry makes 2-pt layup from 1 ft,105-106, 
3:50.0, ,105-106,Shooting foul by A. Wiggins (drawn by N. Jokić)
3:50.0, ,105-107,N. Jokić makes free throw 1 of 2
3:50.0,K. Thompson enters the game for J. Kuminga,105-107, 
3:50.0, ,105-108,N. Jokić makes free throw 2 of 2
3:37.0,S. Curry misses 2-pt layup from 5 ft,105-108, 
3:34.0, ,105-108,Defensive rebound by A. Gordon
3:32.0, ,105-108,K. Caldwell-Pope misses 2-pt layup from 2 ft
3:32.0, ,105-108,Offensive rebound by K. Caldwell-Pope
3:22.0, ,105-110,J. Murray makes 2-pt jump shot from 16 ft
2:58.0,A. Wiggins makes 2-pt jump shot from 5 ft,107-110, 
2:32.0, ,107-113,J. Murray makes 3-pt jump shot from 26 ft
2:13.0,A. Wiggins misses 2-pt jump shot from 20 ft,107-113, 
2:12.0, ,107-113,Defensive rebound by N. Jokić
2:05.0, ,107-113,M. Porter misses 2-pt jump shot from 23 ft
2:02.0, ,107-113,Offensive rebound by A. Gordon
2:02.0, ,107-113,Shooting foul by K. Looney (drawn by A. Gordon)
2:02.0, ,107-113,Denver full timeout
2:02.0,T. Jackson-Davis enters the game for K. Looney,107-113, 
2:02.0,C. Paul enters the game for B. Podziemski,107-113, 
2:02.0, ,107-113,A. Gordon misses free throw 1 of 2
2:02.0, ,107-113,Offensive rebound by Team
2:02.0, ,107-114,A. Gordon makes free throw 2 of 2
1:47.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Wiggins),110-114, 
1:32.0, ,110-114,Personal foul by A. Wiggins (drawn by N. Jokić)
1:32.0, ,110-115,N. Jokić makes free throw 1 of 2
1:32.0, ,110-116,N. Jokić makes free throw 2 of 2
1:13.0,K. Thompson misses 3-pt jump shot from 23 ft (block by M. Porter),110-116, 
1:13.0,Offensive rebound by Team,110-116, 
1:13.0,Golden State full timeout,110-116, 
1:13.0,D. Šarić enters the game for T. Jackson-Davis,110-116, 
1:11.0,S. Curry misses 3-pt jump shot from 24 ft,110-116, 
1:07.0, ,110-116,Defensive rebound by M. Porter
0:50.0, ,110-116,Turnover by N. Jokić (bad pass; steal by S. Curry)
0:43.0,A. Wiggins makes 2-pt layup from 9 ft,112-116, 
0:34.0, ,112-118,N. Jokić makes 2-pt dunk from 1 ft (assist by A. Gordon)
0:26.0,C. Paul makes 2-pt layup from 2 ft,114-118, 
0:19.0, ,114-118,Personal take foul by S. Curry (drawn by J. Murray)
0:19.0, ,114-119,J. Murray makes free throw 1 of 2
0:19.0, ,114-120,J. Murray makes free throw 2 of 2
0:14.0,S. Curry misses 3-pt jump shot from 28 ft,114-120, 
0:11.0, ,114-120,Defensive rebound by J. Murray
